Census Tract FIPS code,County,Year,Inclusive Growth Score,RUCC_2023,Description,Shape,Is an Opportunity Zone,State.x,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Persol Income Score,"Persol Income Base, %","Persol Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %",FIPS,State.y,Population_2020,FID,STATEFP,COUNTYFP,TRACTCE,ME.x,MELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ME.y,variable.x,white_pop_estimate,white_pop_moe,ME.x.x,variable.y,bachelors_estimate,bachelors_moe,ME.y.y,variable.x.x,female_pop_estimate,female_pop_moe,ME.x.x.x,variable.y.y,employment_status_estimate,employment_status_moe,ME.y.y.y,variable.x.x.x,median_household_income_estimate,median_household_income_moe,ME.x.x.x.x,variable.y.y.y,vehicle_access_estimate,vehicle_access_moe,ME.y.y.y.y,variable.x.x.x.x,white_pov_estimate,white_pov_moe,ME,variable.y.y.y.y,hs_diploma_estimate,hs_diploma_moe
13137000201,Habersham County,2022,50,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",0,,Georgia,50,49,54,51,57,45,-5.2,-6.9,57,12.4,17.3,48,2,1.8,84,78.2,85.2,42,86.7,84.1,55,59.5,62.2,40,34,46,15,-13.7,-27.1,,,,54,28.6,40,71,4,5.7,52,45,47,16,23.5,15.1,55,66,44,66,15.8,27.9,,,,57,84.6,86.5,26,42.1,46.4,,29.5,,48,88.3,88,13137,GA,46031,,,,,,,,,,,,,Census Tract 2.01; Habersham County; Georgia,B02001_002,3670,440,Census Tract 2.01; Habersham County; Georgia,B15003_022,387,126,Census Tract 2.01; Habersham County; Georgia,B01001_026,2141,285,Census Tract 2.01; Habersham County; Georgia,B23025_005,0,14,Census Tract 2.01; Habersham County; Georgia,B19019_001,46472,6667,Census Tract 2.01; Habersham County; Georgia,B08201_002,36,40,Census Tract 2.01; Habersham County; Georgia,B17001A_002,426,253,Census Tract 2.01; Habersham County; Georgia,B15003_017,640,154
13137000500,Habersham County,2022,53,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",0,,Georgia,56,50,48,50,46,50,-5.2,-13.8,50,12.4,6.7,14,2,0.2,71,78.2,82.4,28,86.7,78.7,71,59.5,70.5,61,66,56,85,-13.7,5.4,76,,,36,28.6,5.5,16,4,1.9,61,45,56,91,23.5,35,50,52,47,53,15.8,22.2,51,,,26,84.6,75,28,42.1,45.8,94,29.5,70.9,40,88.3,86.7,13137,GA,46031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13021010800,Bibb County,2022,42,3,"Metro - Counties in metro areas of fewer than 250,000 population",1,,Georgia,39,44,56,44,68,63,-5.2,14.7,25,12.4,-15.2,68,2,3.9,94,78.2,88.4,18,86.7,73.2,94,59.5,85.9,34,31,36,36,-13.7,-24.8,37,,,20,28.6,-14.9,20,4,2.2,50,45,45,38,23.5,21,35,42,28,31,15.8,-10.8,53,,,23,84.6,73.4,2,42.1,60.8,,29.5,,58,88.3,89.5,13021,GA,157346,2671,13,21,10800,108,Census Tract 108,G5020,S,1821673,52088,32.8422762,-83.6369962,Census Tract 108; Bibb County; Georgia,B02001_002,1252,270,Census Tract 108; Bibb County; Georgia,B15003_022,347,160,Census Tract 108; Bibb County; Georgia,B01001_026,777,170,Census Tract 108; Bibb County; Georgia,B23025_005,29,34,Census Tract 108; Bibb County; Georgia,B19019_001,21307,11891,Census Tract 108; Bibb County; Georgia,B08201_002,297,93,Census Tract 108; Bibb County; Georgia,B17001A_002,386,197,Census Tract 108; Bibb County; Georgia,B15003_017,157,69
13315960300,Wilcox County,2022,39,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",0,,Georgia,43,35,42,47,36,33,-5.2,-6.4,61,12.4,72,5,2,0,83,78.2,85.1,21,86.7,74.8,37,59.5,54.1,44,68,20,52,-13.7,0,,,,83,28.6,333.3,,,,37,45,33,3,23.5,9.9,32,14,49,14,15.8,-3.8,,,,69,84.6,89.8,90,42.1,34.5,29,29.5,20.8,8,88.3,78.6,13315,GA,8766,,,,,,,,,,,,,Census Tract 9603; Wilcox County; Georgia,B02001_002,1390,272,Census Tract 9603; Wilcox County; Georgia,B15003_022,55,36,Census Tract 9603; Wilcox County; Georgia,B01001_026,691,135,Census Tract 9603; Wilcox County; Georgia,B23025_005,19,15,Census Tract 9603; Wilcox County; Georgia,B19019_001,62130,3038,Census Tract 9603; Wilcox County; Georgia,B08201_002,4,7,Census Tract 9603; Wilcox County; Georgia,B17001A_002,95,75,Census Tract 9603; Wilcox County; Georgia,B15003_017,239,81
13117130608,Forsyth County,2022,68,1,Metro - Counties in metro areas of 1 million population or more,0,,Georgia,65,72,66,70,62,71,-5.2,3.5,70,12.4,22,75,2,5,60,78.2,80.2,99,86.7,99.9,14,59.5,42.9,70,64,75,64,-13.7,-13.5,83,,,46,28.6,4.5,46,4,3.8,94,45,94,86,23.5,32.8,69,60,78,62,15.8,15.3,58,,,97,84.6,97.7,61,42.1,40.2,76,29.5,43.3,79,88.3,93.1,13117,GA,251283,,,,,,,,,,,,,Census Tract 1306.08; Forsyth County; Georgia,B02001_002,1758,422,Census Tract 1306.08; Forsyth County; Georgia,B15003_022,1531,232,Census Tract 1306.08; Forsyth County; Georgia,B01001_026,2913,293,Census Tract 1306.08; Forsyth County; Georgia,B23025_005,53,43,Census Tract 1306.08; Forsyth County; Georgia,B19019_001,154010,16059,Census Tract 1306.08; Forsyth County; Georgia,B08201_002,0,20,Census Tract 1306.08; Forsyth County; Georgia,B17001A_002,10,15,Census Tract 1306.08; Forsyth County; Georgia,B15003_017,456,231
13219030200,Oconee County,2022,62,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,,Georgia,63,61,56,50,63,45,-5.2,-20.2,56,12.4,-2.7,54,2,2.3,39,78.2,76,77,86.7,93.5,83,59.5,78.3,67,59,75,52,-13.7,-20.4,78,,,47,28.6,11.2,62,4,5,73,45,69,90,23.5,34.6,64,81,46,92,15.8,43.1,70,,,36,84.6,79.8,12,42.1,50.4,,29.5,,90,88.3,95.5,13219,GA,41799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13045910103,Carroll County,2022,53,1,Metro - Counties in metro areas of 1 million population or more,1,,Georgia,57,49,56,66,46,60,-5.2,-0.2,73,12.4,59.8,18,2,0.4,81,78.2,84.6,60,86.7,89.6,27,59.5,49.6,47,61,33,46,-13.7,-15.5,83,,,53,28.6,33.8,8,4,1.4,59,45,54,32,23.5,19.7,56,43,69,45,15.8,11,41,,,59,84.6,87.3,72,42.1,38.5,81,29.5,48.5,65,88.3,90.6,13045,GA,119148,2733,13,45,910103,9101.03,Census Tract 9101.03,G5020,S,55407192,752911,33.6914721,-84.9611659,Census Tract 9101.03; Carroll County; Georgia,B02001_002,3845,513,Census Tract 9101.03; Carroll County; Georgia,B15003_022,421,139,Census Tract 9101.03; Carroll County; Georgia,B01001_026,2802,385,Census Tract 9101.03; Carroll County; Georgia,B23025_005,105,65,Census Tract 9101.03; Carroll County; Georgia,B19019_001,88486,7438,Census Tract 9101.03; Carroll County; Georgia,B08201_002,1,12,Census Tract 9101.03; Carroll County; Georgia,B17001A_002,216,181,Census Tract 9101.03; Carroll County; Georgia,B15003_017,1053,202
13029920101,Bryan County,2022,43,2,"Metro - Counties in metro areas of 250,000 to 1 million population",1,,Georgia,52,34,40,55,26,57,-5.2,-2.8,53,12.4,8.2,17,2,0.3,35,78.2,74.9,50,86.7,86.6,1,59.5,29,40,56,23,64,-13.7,0,62,,,41,28.6,17.1,6,4,1.2,17,45,17,45,23.5,22.5,49,44,54,22,15.8,1.7,65,,,62,84.6,88.2,80,42.1,36.9,51,29.5,29.7,21,88.3,83.4,13029,GA,44738,2094,13,29,920101,9201.01,Census Tract 9201.01,G5020,S,128623728,1455246,32.1800181,-81.4767191,Census Tract 9201.01; Bryan County; Georgia,B02001_002,3884,643,Census Tract 9201.01; Bryan County; Georgia,B15003_022,269,129,Census Tract 9201.01; Bryan County; Georgia,B01001_026,2447,443,Census Tract 9201.01; Bryan County; Georgia,B23025_005,151,100,Census Tract 9201.01; Bryan County; Georgia,B19019_001,57407,8170,Census Tract 9201.01; Bryan County; Georgia,B08201_002,67,47,Census Tract 9201.01; Bryan County; Georgia,B17001A_002,472,244,Census Tract 9201.01; Bryan County; Georgia,B15003_017,1139,286
13113140403,Fayette County,2022,63,1,Metro - Counties in metro areas of 1 million population or more,0,,Georgia,65,61,51,63,39,55,-5.2,-5,71,12.4,32.7,10,2,0.1,45,78.2,77.3,87,86.7,95.9,13,59.5,42.5,72,79,64,93,-13.7,72.7,67,,,78,28.6,55.3,31,4,2.9,74,45,70,86,23.5,32.6,66,54,79,48,15.8,8.7,60,,,95,84.6,97.2,89,42.1,34.8,75,29.5,42.5,57,88.3,89.3,13113,GA,119194,,,,,,,,,,,,,Census Tract 1404.03; Fayette County; Georgia,B02001_002,1240,316,Census Tract 1404.03; Fayette County; Georgia,B15003_022,1060,320,Census Tract 1404.03; Fayette County; Georgia,B01001_026,2649,351,Census Tract 1404.03; Fayette County; Georgia,B23025_005,133,118,Census Tract 1404.03; Fayette County; Georgia,B19019_001,112341,47420,Census Tract 1404.03; Fayette County; Georgia,B08201_002,7,17,Census Tract 1404.03; Fayette County; Georgia,B17001A_002,0,20,Census Tract 1404.03; Fayette County; Georgia,B15003_017,865,280
13067030230,Cobb County,2022,69,1,Metro - Counties in metro areas of 1 million population or more,0,,Georgia,69,69,52,44,60,35,-5.2,-44.3,53,12.4,-13.1,93,2,17.7,39,78.2,75.9,92,86.7,97.2,16,59.5,43.8,78,76,80,89,-13.7,16.1,72,,,67,28.6,30.7,56,4,4.5,86,45,85,97,23.5,40.4,77,86,68,87,15.8,35,86,,,81,84.6,93.2,39,42.1,44,,29.5,,85,88.3,94.1,13067,GA,766149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
